GEO2010,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Tract 74.06,1,3,2,2,1,1,1,2,1,3,3,4,4,4,1,2,2,2,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,4,4,4,516,118,117,35,10,5,62,321,547,739,1069,1243,1382,147,118,117,35,10,5,62,0,0,0,0,0,0,369,0,0,0,0,0,0,321,547,739,1069,1243,1382
Tract 74.07,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,940,973,920,811,686,639,442,403,0,315,335,362,960,940,973,920,811,686,639,442,403,0,315,335,362,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 74.08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,520,501,444,356,344,320,277,277,249,240,245,266,489,520,501,444,356,344,320,277,277,249,240,245,266,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 74.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
Tract 75.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,622,567,518,487,415,378,343,368,386,355,391,585,602,622,567,518,487,415,378,343,368,386,355,391,585,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 75.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,413,413,406,352,328,310,282,259,255,256,260,306,411,413,413,406,352,328,310,282,259,255,256,260,306,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 75.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 76.01,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1475,1455,1420,1422,1520,1474,1542,1486,1414,1420,1369,1320,1474,1475,1455,1420,1422,1520,1474,1443,1486,1414,1420,1369,1320,1474,0,0,0,0,0,0,99,0,0,0,0,0,0
Tract 76.03,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,553,520,459,420,354,285,310,298,321,302,308,0,557,553,520,459,420,354,285,310,298,321,302,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 76.04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,923,925,905,818,767,761,722,754,774,770,742,757,925,923,925,905,818,767,761,722,754,774,770,742,757,0,0,0,0,0,0,0,0,0,0,0,0,0
