proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"Carmel Plaza North","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",40
"Capital Quarter Phase I (Public Housing)","Near Southeast, Navy Yard","Ward 6",39
"St James Mutual Home","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",36
"Capitol Hill Tower Co-Op","Near Southeast, Navy Yard","Ward 6",344
"2 And M","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",314
"Museum Square One Apts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",302
"Tyler House","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",284
"Sursum Corda","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",28
"Greenleaf Gardens, Additions & Extensions","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",278
"Augusta Louisa Apts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",26
"Sibley Plaza","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",246
"James Creek","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",239
"Yale Steam Laundry","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",218
"Gibson Plaza","Shaw, Logan Circle","Ward 6",217
"Greenleaf Senior","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",215
"Potomac Gardens Family","Capitol Hill, Lincoln Park","Ward 6",208
"Capitol Hill Apartments","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",204
"Golden Rule Apts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",184
"Syphax Gardens","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",174
"The Yards (Building M/160)","Near Southeast, Navy Yard","Ward 6",174
"The Pentacle","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",167
"Arthur Capper Phase I (Capper Senior I)","Near Southeast, Navy Yard","Ward 6",162
"636 Cooperative Apts","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",16
"Hopkins Apts","Capitol Hill, Lincoln Park","Ward 6",158
"Sursum Corda Cooperative","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",149
"Asbury Dwellings","Shaw, Logan Circle","Ward 6",147
"Northwest Cooperative No 17","Shaw, Logan Circle","Ward 6",145
"Potomac Gardens Senior","Capitol Hill, Lincoln Park","Ward 6",144
"Capitol Quarter - Senior II (Capper Senior II)","Near Southeast, Navy Yard","Ward 6",139
"Capper Senior II Apartments","Near Southeast, Navy Yard","Ward 6",138
"1330 7th St Apts (Immaculate Conception)","Shaw, Logan Circle","Ward 6",137
"Kentucky Courts II","Capitol Hill, Lincoln Park","Ward 6",12
"DMH - Community Connection","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",12
"Golden Rule Plaza","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",119
"Kentucky Courts","Capitol Hill, Lincoln Park","Ward 6",118
"Phyllis Wheatley Ywca","Shaw, Logan Circle","Ward 6",117
"Lincoln Westmoreland I","Shaw, Logan Circle","Ward 6",108
"1249 I St NE","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",1
"5024 H St SE","Capitol View, Marshall Heights, Benning Heights","Ward 7",0
"Lotus Square","Mayfair, Hillbrook, Mahaning Heights","Ward 7",0
"Grant Park Care Center","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights","Ward 7",0
"Glendale Gardens","Mayfair, Hillbrook, Mahaning Heights","Ward 7",0
"TCB Fairlawn Marshall","Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont","Ward 7",98
"Allen House","River Terrace, Benning, Greenway, Dupont Park","Ward 7",96
"Capitol Gateway Sf Rental","Capitol View, Marshall Heights, Benning Heights","Ward 7",86
"Benning Road Apts","Mayfair, Hillbrook, Mahaning Heights","Ward 7",86
"54th Street Housing","Capitol View, Marshall Heights, Benning Heights","Ward 7",8
"J.W. King Seniors Ctr","Capitol View, Marshall Heights, Benning Heights","Ward 7",74
"Glenncrest (Formerly Eastgate Gardens)","Capitol View, Marshall Heights, Benning Heights","Ward 7",61
"Randall Highlands Manor","Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont","Ward 7",60
"2721 Pennsylvania Ave SE","Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont","Ward 7",6
"Mayfair Mansions (Phase I)","Mayfair, Hillbrook, Mahaning Heights","Ward 7",569
